year,taxon,genus,supercategory,importer,exporter
2003,Panthera tigris,Panthera,Animal part,DEU,AND
2010,Panthera tigris,Panthera,Live,ESP,AND
2010,Panthera tigris,Panthera,Live,ESP,AND
2010,Panthera tigris,Panthera,Live,ESP,AND
2010,Panthera leo,Panthera,Live,ESP,AND
2017,Lynx lynx,Lynx,Live,FRA,AND
2013,Lynx rufus,Lynx,Product,USA,AND
2014,Lynx canadensis,Lynx,Product,USA,AND
2013,Lynx rufus,Lynx,Unknown,USA,AND
1998,Panthera tigris altaica,Panthera,Live,USA,AND
2011,Panthera leo,Panthera,Trophy,USA,AND
2015,Caracal caracal,Caracal,Animal part,ARM,ARE
2009,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2009,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2009,Panthera onca,Panthera,Live,ARM,ARE
2009,Panthera pardus,Panthera,Live,ARM,ARE
2010,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2010,Panthera onca,Panthera,Live,ARM,ARE
2010,Panthera pardus,Panthera,Live,ARM,ARE
2010,Panthera leo,Panthera,Live,ARM,ARE
2010,Panthera leo,Panthera,Live,ARM,ARE
2011,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2011,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2011,Neofelis nebulosa,Neofelis,Live,ARM,ARE
2011,Panthera leo,Panthera,Live,ARM,ARE
2012,Acinonyx jubatus,Acinonyx,Live,ARM,ARE
2012,Neofelis nebulosa,Neofelis,Live,ARM,ARE
2015,Panthera tigris,Panthera,Animal part,ARM,ARE
2015,Panthera tigris,Panthera,Trophy,ARM,ARE
2015,Panthera tigris,Panthera,Animal part,AUT,ARE
2015,Panthera tigris,Panthera,Animal part,AUT,ARE
2015,Uncia uncia,Uncia,Animal part,AUT,ARE
2015,Uncia uncia,Uncia,Animal part,AUT,ARE
2015,Uncia uncia,Uncia,Animal part,AUT,ARE
2015,Uncia uncia,Uncia,Animal part,AUT,ARE
2012,Acinonyx jubatus,Acinonyx,Trophy,AUT,ARE
2012,Acinonyx jubatus,Acinonyx,Trophy,AUT,ARE
2012,Panthera tigris,Panthera,Trophy,AUT,ARE
2003,Acinonyx jubatus,Acinonyx,Live,AUS,ARE
2010,Panthera tigris,Panthera,Animal part,BEL,ARE
1992,Felis margarita,Felis,Live,BEL,ARE
1992,Felis margarita,Felis,Live,BEL,ARE
2010,Acinonyx jubatus,Acinonyx,Unknown,BEL,ARE
2011,Acinonyx jubatus,Acinonyx,Unknown,BEL,ARE
2014,Lynx rufus,Lynx,Product,BGR,ARE
2010,Caracal caracal,Caracal,Animal part,BHR,ARE
2014,Caracal caracal,Caracal,Animal part,BHR,ARE
2010,Catopuma temminckii,Catopuma,Product,BHR,ARE
1993,Panthera pardus,Panthera,Live,BHR,ARE
2010,Panthera tigris,Panthera,Live,BHR,ARE
2010,Panthera leo,Panthera,Live,BHR,ARE
2011,Acinonyx jubatus,Acinonyx,Live,BHR,ARE
2011,Panthera pardus,Panthera,Live,BHR,ARE
2014,Panthera tigris,Panthera,Live,BHR,ARE
2014,Panthera tigris,Panthera,Live,BHR,ARE
2016,Panthera leo,Panthera,Live,BHR,ARE
2010,Panthera pardus,Panthera,Animal part,BHR,ARE
2010,Panthera tigris,Panthera,Animal part,BHR,ARE
2010,Leptailurus serval,Leptailurus,Animal part,BHR,ARE
2014,Panthera tigris,Panthera,Animal part,BHR,ARE
2012,Acinonyx jubatus,Acinonyx,Trophy,BHR,ARE
2015,Panthera pardus,Panthera,Live,BRN,ARE
2011,Caracal caracal,Caracal,Animal part,BTN,ARE
2011,Caracal caracal,Caracal,Animal part,BTN,ARE
2014,Caracal caracal,Caracal,Animal part,BTN,ARE
2014,Caracal caracal,Caracal,Animal part,BTN,ARE
2011,Panthera tigris,Panthera,Unknown,BTN,ARE
2011,Panthera tigris,Panthera,Trophy,BTN,ARE
2014,Panthera tigris,Panthera,Trophy,BTN,ARE
2014,Panthera tigris,Panthera,Trophy,BTN,ARE
2008,Lynx canadensis,Lynx,Product,CAN,ARE
2008,Lynx rufus,Lynx,Product,CAN,ARE
1978,Panthera leo,Panthera,Live,CHE,ARE
1983,Panthera tigris,Panthera,Animal part,CHE,ARE
1995,Panthera leo,Panthera,Animal part,CHE,ARE
2003,Leopardus wiedii,Leopardus,Animal part,CHE,ARE
2003,Prionailurus bengalensis,Prionailurus,Animal part,CHE,ARE
2005,Acinonyx jubatus,Acinonyx,Unknown,CHE,ARE
2007,Acinonyx jubatus,Acinonyx,Unknown,CHE,ARE
2007,Panthera pardus,Panthera,Unknown,CHE,ARE
2007,Caracal caracal,Caracal,Unknown,CHE,ARE
2007,Felis silvestris,Felis,Unknown,CHE,ARE
2008,Acinonyx jubatus,Acinonyx,Unknown,CHE,ARE
2008,Panthera pardus,Panthera,Unknown,CHE,ARE
2008,Felis margarita,Felis,Unknown,CHE,ARE
2008,Felis silvestris,Felis,Unknown,CHE,ARE
2009,Acinonyx jubatus,Acinonyx,Unknown,CHE,ARE
2009,Felis silvestris,Felis,Unknown,CHE,ARE
2001,Felis silvestris,Felis,Live,CZE,ARE
2002,Felis silvestris,Felis,Live,CZE,ARE
2003,Felis silvestris,Felis,Live,CZE,ARE
2007,Lynx rufus,Lynx,Product,DEU,ARE
2013,Lynx canadensis,Lynx,Product,DEU,ARE
2014,Lynx canadensis,Lynx,Product,DEU,ARE
2014,Lynx rufus,Lynx,Product,DEU,ARE
2014,Lynx rufus,Lynx,Product,DEU,ARE
2015,Lynx canadensis,Lynx,Product,DEU,ARE
2015,Lynx canadensis,Lynx,Product,DEU,ARE
2015,Lynx rufus,Lynx,Product,DEU,ARE
2015,Lynx rufus,Lynx,Product,DEU,ARE
2016,Lynx canadensis,Lynx,Product,DEU,ARE
2016,Lynx rufus,Lynx,Product,DEU,ARE
2016,Lynx rufus,Lynx,Product,DEU,ARE
2017,Lynx rufus,Lynx,Unknown,DEU,ARE
1989,Felis silvestris,Felis,Live,DEU,ARE
1990,Felis silvestris,Felis,Live,DEU,ARE
1993,Neofelis nebulosa,Neofelis,Live,DEU,ARE
1993,Neofelis nebulosa,Neofelis,Live,DEU,ARE
1998,Felis silvestris,Felis,Live,DEU,ARE
1998,Felis silvestris,Felis,Live,DEU,ARE
2006,Acinonyx jubatus,Acinonyx,Live,DEU,ARE
2012,Panthera tigris,Panthera,Live,DEU,ARE
2009,Panthera pardus,Panthera,Animal part,DEU,ARE
2008,Neofelis nebulosa,Neofelis,Unknown,DEU,ARE
2009,Panthera leo,Panthera,Unknown,DEU,ARE
2011,Acinonyx jubatus,Acinonyx,Unknown,DEU,ARE
2011,Caracal caracal,Caracal,Unknown,DEU,ARE
2011,Panthera pardus,Panthera,Unknown,DEU,ARE
2011,Caracal caracal,Caracal,Unknown,DEU,ARE
2011,Felis margarita,Felis,Unknown,DEU,ARE
2011,Felis silvestris,Felis,Unknown,DEU,ARE
2013,Acinonyx jubatus,Acinonyx,Unknown,DEU,ARE
2013,Acinonyx jubatus,Acinonyx,Unknown,DEU,ARE
2014,Acinonyx jubatus,Acinonyx,Unknown,DEU,ARE
2011,Leptailurus serval,Leptailurus,Animal part,DJI,ARE
2011,Caracal caracal,Caracal,Unknown,DJI,ARE
2012,Caracal caracal,Caracal,Live,DNK,ARE
2016,Caracal caracal,Caracal,Animal part,EGY,ARE
1998,Panthera tigris,Panthera,Live,EGY,ARE
1998,Panthera leo,Panthera,Live,EGY,ARE
2010,Panthera tigris,Panthera,Live,EGY,ARE
2010,Panthera tigris,Panthera,Live,EGY,ARE
2010,Panthera tigris,Panthera,Live,EGY,ARE
2010,Panthera leo,Panthera,Live,EGY,ARE
2010,Panthera leo,Panthera,Live,EGY,ARE
2010,Panthera leo,Panthera,Live,EGY,ARE
2011,Panthera tigris,Panthera,Live,EGY,ARE
2011,Panthera leo,Panthera,Live,EGY,ARE
2012,Panthera tigris,Panthera,Live,EGY,ARE
2012,Panthera leo,Panthera,Live,EGY,ARE
2015,Lynx rufus,Lynx,Product,ESP,ARE
2000,Acinonyx jubatus,Acinonyx,Live,ESP,ARE
2011,Acinonyx jubatus,Acinonyx,Live,ESP,ARE
2012,Caracal caracal,Caracal,Animal part,ETH,ARE
2014,Caracal caracal,Caracal,Animal part,ETH,ARE
2012,Panthera tigris,Panthera,Animal part,ETH,ARE
2012,Leptailurus serval,Leptailurus,Animal part,ETH,ARE
2006,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2006,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2007,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2007,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2008,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2008,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2008,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2008,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2015,Panthera pardus,Panthera,Live,FRA,ARE
2016,Panthera pardus,Panthera,Live,FRA,ARE
2016,Felis margarita,Felis,Live,FRA,ARE
2017,Acinonyx jubatus,Acinonyx,Live,FRA,ARE
2002,Acinonyx jubatus,Acinonyx,Unknown,FRA,ARE
2002,Acinonyx jubatus,Acinonyx,Unknown,FRA,ARE
2016,Panthera pardus,Panthera,Unknown,FRA,ARE
1996,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2002,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2002,Felis silvestris,Felis,Animal part,GBR,ARE
2003,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2003,Panthera pardus,Panthera,Animal part,GBR,ARE
2003,Caracal caracal,Caracal,Animal part,GBR,ARE
2003,Felis margarita,Felis,Animal part,GBR,ARE
2003,Felis margarita,Felis,Animal part,GBR,ARE
2003,Felis margarita,Felis,Animal part,GBR,ARE
2003,Felis silvestris,Felis,Animal part,GBR,ARE
2003,Felis silvestris,Felis,Animal part,GBR,ARE
2004,Felis silvestris,Felis,Animal part,GBR,ARE
2017,Panthera pardus,Panthera,Animal part,GBR,ARE
1997,Felis silvestris,Felis,Live,GBR,ARE
2002,Felis silvestris,Felis,Live,GBR,ARE
2008,Acinonyx jubatus,Acinonyx,Live,GBR,ARE
2008,Acinonyx jubatus,Acinonyx,Live,GBR,ARE
2008,Acinonyx jubatus,Acinonyx,Live,GBR,ARE
2008,Acinonyx jubatus,Acinonyx,Live,GBR,ARE
2009,Neofelis nebulosa,Neofelis,Live,GBR,ARE
2010,Acinonyx jubatus,Acinonyx,Live,GBR,ARE
2011,Prionailurus bengalensis,Prionailurus,Live,GBR,ARE
2012,Caracal caracal,Caracal,Live,GBR,ARE
2012,Caracal caracal,Caracal,Live,GBR,ARE
2013,Panthera onca,Panthera,Live,GBR,ARE
2015,Prionailurus bengalensis,Prionailurus,Live,GBR,ARE
2017,Neofelis nebulosa,Neofelis,Live,GBR,ARE
2017,Neofelis nebulosa,Neofelis,Live,GBR,ARE
2002,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2002,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2002,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
1981,Leptailurus serval,Leptailurus,Animal part,GBR,ARE
1986,Panthera tigris,Panthera,Animal part,GBR,ARE
2002,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2002,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2012,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2012,Leptailurus serval,Leptailurus,Animal part,GBR,ARE
2013,Acinonyx jubatus,Acinonyx,Animal part,GBR,ARE
2013,Leptailurus serval,Leptailurus,Animal part,GBR,ARE
2016,Panthera leo,Panthera,Animal part,GBR,ARE
2017,Panthera pardus,Panthera,Animal part,GBR,ARE
2003,Acinonyx jubatus,Acinonyx,Unknown,GBR,ARE
2012,Panthera pardus,Panthera,Unknown,GBR,ARE
2013,Acinonyx jubatus,Acinonyx,Unknown,GBR,ARE
2013,Caracal caracal,Caracal,Unknown,GBR,ARE
2013,Caracal caracal,Caracal,Unknown,GBR,ARE
2013,Felis margarita,Felis,Unknown,GBR,ARE
2015,Panthera leo,Panthera,Unknown,GBR,ARE
2016,Panthera pardus,Panthera,Unknown,GBR,ARE
2016,Panthera leo,Panthera,Unknown,GBR,ARE
2017,Panthera pardus,Panthera,Unknown,GBR,ARE
2010,Panthera tigris,Panthera,Animal part,GEO,ARE
2011,Lynx canadensis,Lynx,Product,GRL,ARE
2011,Lynx rufus,Lynx,Product,GRL,ARE
2007,Lynx rufus,Lynx,Product,GRC,ARE
2008,Lynx rufus,Lynx,Product,GRC,ARE
2009,Lynx canadensis,Lynx,Product,GRC,ARE
2009,Lynx canadensis,Lynx,Product,GRC,ARE
2009,Lynx rufus,Lynx,Product,GRC,ARE
2009,Prionailurus bengalensis,Prionailurus,Product,GRC,ARE
2010,Lynx canadensis,Lynx,Product,GRC,ARE
2010,Lynx canadensis,Lynx,Product,GRC,ARE
2010,Lynx rufus,Lynx,Product,GRC,ARE
2011,Lynx canadensis,Lynx,Product,GRC,ARE
2011,Lynx canadensis,Lynx,Product,GRC,ARE
2011,Lynx rufus,Lynx,Product,GRC,ARE
2012,Lynx canadensis,Lynx,Product,GRC,ARE
2012,Lynx canadensis,Lynx,Product,GRC,ARE
2012,Lynx rufus,Lynx,Product,GRC,ARE
2012,Lynx rufus,Lynx,Product,GRC,ARE
2013,Lynx canadensis,Lynx,Product,GRC,ARE
2013,Lynx canadensis,Lynx,Product,GRC,ARE
2013,Lynx rufus,Lynx,Product,GRC,ARE
2013,Lynx rufus,Lynx,Product,GRC,ARE
2014,Lynx canadensis,Lynx,Product,GRC,ARE
2014,Lynx rufus,Lynx,Product,GRC,ARE
2014,Lynx rufus,Lynx,Product,GRC,ARE
2015,Lynx canadensis,Lynx,Product,GRC,ARE
2015,Lynx canadensis,Lynx,Product,GRC,ARE
2015,Lynx rufus,Lynx,Product,GRC,ARE
2015,Lynx rufus,Lynx,Product,GRC,ARE
2015,Lynx rufus,Lynx,Product,GRC,ARE
2016,Lynx canadensis,Lynx,Product,GRC,ARE
2016,Lynx rufus,Lynx,Product,GRC,ARE
2016,Lynx rufus,Lynx,Product,GRC,ARE
2017,Lynx canadensis,Lynx,Product,GRC,ARE
2017,Lynx canadensis,Lynx,Product,GRC,ARE
2017,Lynx rufus,Lynx,Product,GRC,ARE
2018,Lynx canadensis,Lynx,Product,GRC,ARE
2018,Lynx rufus,Lynx,Product,GRC,ARE
2018,Lynx rufus,Lynx,Product,GRC,ARE
2009,Lynx rufus,Lynx,Unknown,GRC,ARE
2012,Lynx rufus,Lynx,Unknown,GRC,ARE
2011,Acinonyx jubatus,Acinonyx,Live,GRC,ARE
2009,Lynx rufus,Lynx,Animal part,GRC,ARE
2010,Lynx canadensis,Lynx,Animal part,GRC,ARE
2009,Lynx rufus,Lynx,Product,HKG,ARE
2010,Lynx rufus,Lynx,Product,HKG,ARE
2011,Lynx rufus,Lynx,Product,HKG,ARE
2011,Lynx rufus,Lynx,Product,HKG,ARE
2012,Lynx rufus,Lynx,Product,HKG,ARE
2015,Uncia uncia,Uncia,Animal part,HUN,ARE
2011,Acinonyx jubatus,Acinonyx,Live,IRL,ARE
2011,Acinonyx jubatus,Acinonyx,Live,IRL,ARE
2017,Acinonyx jubatus,Acinonyx,Live,IRL,ARE
1994,Panthera tigris,Panthera,Live,IND,ARE
2011,Caracal caracal,Caracal,Animal part,IRQ,ARE
2011,Caracal caracal,Caracal,Animal part,IRQ,ARE
2013,Caracal caracal,Caracal,Animal part,IRQ,ARE
2011,Panthera tigris,Panthera,Animal part,IRQ,ARE
2011,Leptailurus serval,Leptailurus,Animal part,IRQ,ARE
1998,Panthera pardus,Panthera,Live,IRN,ARE
1998,Panthera pardus,Panthera,Live,IRN,ARE
1998,Panthera pardus,Panthera,Live,IRN,ARE
1998,Panthera tigris,Panthera,Live,IRN,ARE
1998,Panthera tigris,Panthera,Live,IRN,ARE
2013,Lynx rufus,Lynx,Product,ITA,ARE
2014,Lynx rufus,Lynx,Product,ITA,ARE
2017,Lynx rufus,Lynx,Product,ITA,ARE
2013,Lynx rufus,Lynx,Unknown,ITA,ARE
2017,Lynx rufus,Lynx,Unknown,ITA,ARE
1998,Panthera tigris,Panthera,Live,ITA,ARE
1998,Panthera leo,Panthera,Live,ITA,ARE
2000,Panthera tigris,Panthera,Live,ITA,ARE
2000,Panthera tigris,Panthera,Live,ITA,ARE
2000,Panthera leo,Panthera,Live,ITA,ARE
2015,Acinonyx jubatus,Acinonyx,Live,ITA,ARE
2015,Lynx rufus,Lynx,Animal part,ITA,ARE
2016,Lynx rufus,Lynx,Animal part,ITA,ARE
2009,Caracal caracal,Caracal,Animal part,JOR,ARE
2016,Caracal caracal,Caracal,Animal part,JOR,ARE
2009,Catopuma temminckii,Catopuma,Live,JOR,ARE
2009,Panthera pardus,Panthera,Live,JOR,ARE
2009,Panthera tigris,Panthera,Live,JOR,ARE
2016,Panthera leo,Panthera,Live,JOR,ARE
2017,Panthera leo,Panthera,Live,JOR,ARE
2009,Catopuma temminckii,Catopuma,Animal part,JOR,ARE
2009,Panthera pardus,Panthera,Animal part,JOR,ARE
2009,Panthera tigris,Panthera,Animal part,JOR,ARE
1999,Leptailurus serval,Leptailurus,Live,KEN,ARE
2000,Leptailurus serval,Leptailurus,Live,KEN,ARE
2009,Panthera leo,Panthera,Trophy,KEN,ARE
1995,Felidae spp.,,Live,KOR,ARE
2013,Caracal caracal,Caracal,Animal part,KWT,ARE
2012,Lynx rufus,Lynx,Product,KWT,ARE
2002,Panthera tigris,Panthera,Live,KWT,ARE
2006,Acinonyx jubatus,Acinonyx,Live,KWT,ARE
2006,Acinonyx jubatus,Acinonyx,Live,KWT,ARE
2006,Acinonyx jubatus,Acinonyx,Live,KWT,ARE
2013,Panthera tigris,Panthera,Animal part,KWT,ARE
2012,Caracal caracal,Caracal,Animal part,KAZ,ARE
2012,Panthera tigris,Panthera,Animal part,KAZ,ARE
2009,Caracal caracal,Caracal,Animal part,LBN,ARE
2013,Caracal caracal,Caracal,Animal part,LBN,ARE
2009,Catopuma temminckii,Catopuma,Product,LBN,ARE
2013,Leptailurus serval,Leptailurus,Unknown,LBN,ARE
2014,Panthera tigris,Panthera,Live,LBN,ARE
2009,Panthera pardus,Panthera,Animal part,LBN,ARE
2009,Leptailurus serval,Leptailurus,Animal part,LBN,ARE
2013,Panthera tigris,Panthera,Animal part,LBN,ARE
2009,Panthera tigris,Panthera,Trophy,LBN,ARE
2009,Panthera leo,Panthera,Trophy,LBN,ARE
2009,Puma concolor,Puma,Trophy,LBN,ARE
1995,Leptailurus serval,Leptailurus,Live,LKA,ARE
2007,Caracal caracal,Caracal,Animal part,LBY,ARE
2009,Caracal caracal,Caracal,Animal part,LBY,ARE
2009,Caracal caracal,Caracal,Animal part,LBY,ARE
2010,Caracal caracal,Caracal,Animal part,LBY,ARE
2007,Panthera pardus,Panthera,Unknown,LBY,ARE
2009,Catopuma temminckii,Catopuma,Unknown,LBY,ARE
2009,Panthera pardus,Panthera,Unknown,LBY,ARE
2010,Catopuma temminckii,Catopuma,Unknown,LBY,ARE
2010,Panthera pardus,Panthera,Unknown,LBY,ARE
2010,Panthera tigris,Panthera,Unknown,LBY,ARE
2010,Leptailurus serval,Leptailurus,Unknown,LBY,ARE
2007,Leptailurus serval,Leptailurus,Live,LBY,ARE
2008,Leptailurus serval,Leptailurus,Live,LBY,ARE
2007,Catopuma temminckii,Catopuma,Animal part,LBY,ARE
2007,Panthera pardus,Panthera,Animal part,LBY,ARE
2009,Catopuma temminckii,Catopuma,Animal part,LBY,ARE
2009,Panthera pardus,Panthera,Animal part,LBY,ARE
2009,Panthera tigris,Panthera,Animal part,LBY,ARE
2009,Panthera tigris,Panthera,Trophy,LBY,ARE
2017,Caracal caracal,Caracal,Animal part,MAR,ARE
2011,Acinonyx jubatus,Acinonyx,Live,MAR,ARE
2011,Acinonyx jubatus,Acinonyx,Live,MAR,ARE
2011,Panthera onca,Panthera,Live,MAR,ARE
2011,Leptailurus serval,Leptailurus,Live,MAR,ARE
2011,Leptailurus serval,Leptailurus,Live,MAR,ARE
2011,Leptailurus serval,Leptailurus,Live,MAR,ARE
2011,Panthera leo,Panthera,Live,MAR,ARE
2014,Caracal caracal,Caracal,Other,MRT,ARE
2002,Leptailurus serval,Leptailurus,Live,NLD,ARE
2002,Leptailurus serval,Leptailurus,Live,NLD,ARE
2002,Leptailurus serval,Leptailurus,Live,NLD,ARE
2005,Acinonyx jubatus,Acinonyx,Live,NLD,ARE
2005,Acinonyx jubatus,Acinonyx,Live,NLD,ARE
2005,Panthera leo,Panthera,Live,NLD,ARE
2003,Felidae spp.,,Animal part,NZL,ARE
2011,Caracal caracal,Caracal,Animal part,OMN,ARE
2015,Caracal caracal,Caracal,Animal part,OMN,ARE
2017,Caracal caracal,Caracal,Animal part,OMN,ARE
1994,Panthera leo persica,Panthera,Live,OMN,ARE
2002,Panthera pardus,Panthera,Live,OMN,ARE
2006,Felis silvestris,Felis,Live,OMN,ARE
2011,Panthera tigris,Panthera,Live,OMN,ARE
2011,Panthera leo,Panthera,Live,OMN,ARE
2012,Felis silvestris,Felis,Live,OMN,ARE
2015,Panthera leo,Panthera,Live,OMN,ARE
2015,Panthera leo,Panthera,Live,OMN,ARE
2017,Panthera leo,Panthera,Live,OMN,ARE
2017,Panthera leo,Panthera,Live,OMN,ARE
2011,Panthera tigris,Panthera,Animal part,OMN,ARE
2011,Leptailurus serval,Leptailurus,Animal part,OMN,ARE
2011,Leptailurus serval,Leptailurus,Animal part,OMN,ARE
2016,Panthera pardus,Panthera,Unknown,OMN,ARE
2011,Panthera tigris,Panthera,Trophy,OMN,ARE
2010,Panthera leo,Panthera,Live,PHL,ARE
2011,Panthera leo,Panthera,Live,PHL,ARE
2011,Panthera leo,Panthera,Live,PHL,ARE
2012,Panthera tigris,Panthera,Live,PHL,ARE
2012,Panthera tigris,Panthera,Live,PHL,ARE
2012,Panthera leo,Panthera,Live,PHL,ARE
2012,Panthera leo,Panthera,Live,PHL,ARE
2014,Panthera tigris,Panthera,Live,PHL,ARE
2014,Panthera leo,Panthera,Live,PHL,ARE
2014,Panthera leo,Panthera,Live,PHL,ARE
2014,Panthera leo,Panthera,Live,PHL,ARE
2015,Panthera hybrid,Panthera,Live,PHL,ARE
2015,Panthera hybrid,Panthera,Live,PHL,ARE
2015,Panthera hybrid,Panthera,Live,PHL,ARE
2015,Panthera hybrid,Panthera,Live,PHL,ARE
2015,Panthera leo,Panthera,Live,PHL,ARE
2015,Panthera leo,Panthera,Live,PHL,ARE
2017,Panthera onca,Panthera,Live,PHL,ARE
2017,Panthera tigris,Panthera,Live,PHL,ARE
2017,Panthera leo,Panthera,Live,PHL,ARE
2011,Panthera pardus,Panthera,Trophy,PAK,ARE
2011,Panthera leo,Panthera,Trophy,PAK,ARE
2015,Panthera pardus,Panthera,Unknown,PRT,ARE
2012,Acinonyx jubatus,Acinonyx,Live,QAT,ARE
2013,Panthera leo,Panthera,Live,QAT,ARE
2013,Panthera leo,Panthera,Live,QAT,ARE
2007,Lynx rufus,Lynx,Product,RUS,ARE
2008,Lynx canadensis,Lynx,Product,RUS,ARE
2008,Lynx canadensis,Lynx,Product,RUS,ARE
2008,Lynx rufus,Lynx,Product,RUS,ARE
2008,Lynx rufus,Lynx,Product,RUS,ARE
2008,Prionailurus bengalensis,Prionailurus,Product,RUS,ARE
2009,Lynx canadensis,Lynx,Product,RUS,ARE
2009,Lynx rufus,Lynx,Product,RUS,ARE
2009,Lynx rufus,Lynx,Product,RUS,ARE
2009,Prionailurus spp.,Prionailurus,Product,RUS,ARE
2009,Prionailurus bengalensis,Prionailurus,Product,RUS,ARE
2010,Lynx rufus,Lynx,Product,RUS,ARE
2010,Lynx rufus,Lynx,Product,RUS,ARE
2010,Prionailurus bengalensis,Prionailurus,Product,RUS,ARE
2011,Lynx rufus,Lynx,Product,RUS,ARE
2012,Lynx rufus,Lynx,Product,RUS,ARE
2013,Lynx canadensis,Lynx,Product,RUS,ARE
2013,Lynx rufus,Lynx,Product,RUS,ARE
2013,Lynx rufus,Lynx,Product,RUS,ARE
2016,Lynx rufus,Lynx,Product,RUS,ARE
2011,Lynx rufus,Lynx,Unknown,RUS,ARE
2011,Lynx canadensis,Lynx,Animal part,RUS,ARE
2012,Lynx canadensis,Lynx,Animal part,RUS,ARE
2015,Caracal caracal,Caracal,Animal part,SAU,ARE
2017,Caracal caracal,Caracal,Animal part,SAU,ARE
2011,Lynx rufus,Lynx,Product,SAU,ARE
1999,Acinonyx jubatus,Acinonyx,Live,SAU,ARE
1999,Panthera tigris,Panthera,Live,SAU,ARE
2003,Acinonyx jubatus,Acinonyx,Live,SAU,ARE
2003,Panthera pardus,Panthera,Live,SAU,ARE
2003,Panthera pardus,Panthera,Live,SAU,ARE
2005,Acinonyx jubatus,Acinonyx,Live,SAU,ARE
2005,Panthera tigris,Panthera,Live,SAU,ARE
2006,Acinonyx jubatus,Acinonyx,Live,SAU,ARE
2006,Acinonyx jubatus,Acinonyx,Live,SAU,ARE
2006,Panthera pardus,Panthera,Live,SAU,ARE
2006,Panthera tigris,Panthera,Live,SAU,ARE
2013,Panthera pardus,Panthera,Live,SAU,ARE
2013,Panthera pardus,Panthera,Live,SAU,ARE
2013,Panthera pardus,Panthera,Live,SAU,ARE
2013,Panthera pardus,Panthera,Live,SAU,ARE
2016,Panthera pardus,Panthera,Live,SAU,ARE
2017,Panthera pardus,Panthera,Live,SAU,ARE
2006,Panthera leo,Panthera,Trophy,SAU,ARE
2008,Felis margarita,Felis,Live,SWE,ARE
1980,Panthera pardus,Panthera,Animal part,SWE,ARE
1980,Panthera tigris,Panthera,Animal part,SWE,ARE
1992,Puma concolor,Puma,Live,SGP,ARE
1993,Panthera leo persica,Panthera,Live,SGP,ARE
1993,Puma concolor,Puma,Live,SGP,ARE
2011,Prionailurus bengalensis,Prionailurus,Live,SGP,ARE
2006,Caracal caracal,Caracal,Animal part,SYR,ARE
2010,Panthera leo,Panthera,Live,SYR,ARE
2011,Panthera leo,Panthera,Live,SYR,ARE
2006,Catopuma temminckii,Catopuma,Animal part,SYR,ARE
2006,Panthera pardus,Panthera,Animal part,SYR,ARE
2016,Neofelis nebulosa,Neofelis,Live,THA,ARE
2016,Panthera onca,Panthera,Live,THA,ARE
2008,Catopuma temminckii,Catopuma,Product,TUN,ARE
2008,Panthera pardus,Panthera,Animal part,TUN,ARE
2008,Panthera tigris,Panthera,Animal part,TUN,ARE
2008,Catopuma temminckii,Catopuma,Unknown,TUN,ARE
2008,Panthera pardus,Panthera,Unknown,TUN,ARE
2008,Panthera tigris,Panthera,Unknown,TUN,ARE
2008,Caracal caracal,Caracal,Unknown,TUN,ARE
2012,Caracal caracal,Caracal,Animal part,TZA,ARE
2013,Panthera leo,Panthera,Live,TZA,ARE
2012,Leptailurus serval,Leptailurus,Animal part,TZA,ARE
2003,Panthera pardus,Panthera,Trophy,TZA,ARE
2003,Panthera leo,Panthera,Trophy,TZA,ARE
2015,Acinonyx jubatus,Acinonyx,Live,UKR,ARE
2016,Acinonyx jubatus,Acinonyx,Live,UKR,ARE
2016,Caracal caracal,Caracal,Animal part,UGA,ARE
2015,Caracal caracal,Caracal,Unknown,UGA,ARE
1983,Panthera tigris,Panthera,Animal part,USA,ARE
2015,Panthera tigris,Panthera,Animal part,USA,ARE
2015,Panthera tigris,Panthera,Animal part,USA,ARE
2012,Panthera pardus,Panthera,Product,USA,ARE
1990,Felidae spp.,,Product,USA,ARE
1988,Felis silvestris,Felis,Unknown,USA,ARE
